prolificPID,recID,questionNumber,response,created_at
6141566319dbb6998ac9cb21,5,1,true,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,5,2,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,5,3,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,5,4,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,5,5,4,2023-06-13T20:13:55Z
5cbfa7b957cb1b0001698a35,0,1,true,2023-06-13T20:13:57Z
5cbfa7b957cb1b0001698a35,0,2,2,2023-06-13T20:14:00Z
5f90c1832cf6481b25307b46,0,1,true,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,0,2,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,0,3,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,0,3,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,0,4,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,0,5,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,1,1,true,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,1,2,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,1,3,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,1,4,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,0,4,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,0,5,2,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,1,5,4,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,1,1,false,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,1,2,1,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,1,3,5,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,2,1,true,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,1,4,1,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,1,5,1,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,2,1,true,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,2,2,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,2,2,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,2,3,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,2,3,4,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,2,4,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,2,5,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,3,1,false,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,3,2,5,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,2,4,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,3,3,4,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,3,4,5,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,2,5,5,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,3,5,5,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,3,1,true,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,4,1,true,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,3,2,3,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,4,2,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,4,3,5,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,3,3,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,4,4,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,3,4,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,4,5,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,3,5,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,5,1,true,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,4,1,false,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,5,2,2,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,4,2,2,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,5,3,3,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,4,3,4,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,5,4,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,4,4,4,2023-06-13T20:14:04Z
5cbfa7b957cb1b0001698a35,5,5,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,4,5,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,5,1,true,2023-06-13T20:14:04Z
